dataset,condition,stratum,prompts,prompts_with_success,zero_success_prompts,median_inverse_p_among_observed,median_restricted_draws_B16,median_restricted_draws_B128,median_restricted_draws_B1024
atlas_baseline,none,instrumental,15,15,0,2.7675675675675677,2.765446556671783,2.7675675675675677,2.7675675675675677
atlas_baseline,none,vocal,17,17,0,15.515151515151516,10.171909319273613,15.512081456070343,15.515151515151516
atlas_istrong,I_strong,instrumental,15,15,0,2.909090909090909,2.9056484692785642,2.909090909090909,2.909090909090909
atlas_v3,V3,vocal,17,17,0,1.2075471698113207,1.2075471698106204,1.2075471698113207,1.2075471698113207
n2,N2_reseed,instrumental,47,47,0,1.1228070175438596,1.1228070175438591,1.1228070175438596,1.1228070175438596
n2,N2_reseed,vocal,81,81,0,2.5098039215686274,2.509065793225539,2.5098039215686274,2.5098039215686274
stage3,instr_both,instrumental,15,15,0,2.56,2.5590744623417847,2.56,2.56
stage3,instr_sampler,instrumental,15,15,0,3.2,3.192028992489087,3.2,3.2
stage3,instr_text,instrumental,15,15,0,3.764705882352941,3.7377646662293893,3.764705882352941,3.764705882352941
stage3,vocal_both,vocal,17,17,0,1.2549019607843137,1.2549019607737741,1.2549019607843137,1.2549019607843137
stage3,vocal_guidance,vocal,17,17,0,1.2307692307692308,1.2307692307663587,1.2307692307692308,1.2307692307692308
stage3,vocal_hints,vocal,17,15,2,10.666666666666666,9.316927036381864,12.799615203786416,12.8
