dataset,condition,stratum,prompts,seeds_per_prompt,population_weighted,draws_N,deployment_success,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,prompt_only_ci95_low,prompt_only_ci95_high,estimand,rate_scope
atlas_baseline,none,instrumental,15,512,0,8,0.9512476600753637,0.9221962388109101,0.973175139021441,0.92488677851387,0.9738815387342861,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_baseline,none,vocal,17,512,0,8,0.46829225669583274,0.35462047814497333,0.5791738113736646,0.35720636689725416,0.5793852864446639,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_v3,V3,vocal,17,128,0,8,0.9989569410646051,0.9955785338590168,0.9999828314984233,0.9969300968038327,0.9999826193769111,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_istrong,I_strong,instrumental,15,128,0,8,0.9466865750338405,0.9013501808496281,0.9738599731595114,0.911285573222655,0.974143261411054,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,instr_both,instrumental,15,64,0,8,0.9443915767698456,0.8772140285856518,0.9781728474339152,0.89366681580225,0.9789231803663861,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,instr_sampler,instrumental,15,64,0,8,0.9484169539956144,0.9032929846758643,0.9670683393392621,0.92760701982548,0.9679144867311887,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,instr_text,instrumental,15,64,0,8,0.8876931233713375,0.7709420816353163,0.9524800530417163,0.789731376349927,0.9526866273334635,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_both,vocal,17,64,0,8,0.9985129734149287,0.9923229212947741,0.999987030452027,0.9956717642222336,0.9999910155348521,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_guidance,vocal,17,64,0,8,0.9964421804670615,0.9834154764135042,0.999989743639588,0.9893912950029169,0.9999937772257722,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_hints,vocal,17,64,0,8,0.45468653914497825,0.2998763777228161,0.5836438844271503,0.3226547196258777,0.5888406661660947,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,instrumental,47,128,1,8,0.991191755409841,0.9847526565967704,0.9949884832528334,0.9876908705246452,0.9945243496761547,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
n2,N2_reseed,vocal,81,128,1,8,0.8731376755057724,0.8385052683113544,0.8985025470590773,0.8449214371739269,0.8999056331250659,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
