prompt_id,stratum,fold,root0_seed,root1_seed
dev_0010,medium_risk_instrumental,0,2061200000,2061210000
dev_0011,vocal_request,0,2063600000,2063610000
dev_0030,low_risk_instrumental,0,2062500000,2062510000
dev_0070,low_risk_instrumental,0,2062700000,2062710000
dev_0074,high_risk_instrumental,0,2060400000,2060410000
dev_0080,medium_risk_instrumental,0,2061400000,2061410000
dev_0217,vocal_request,0,2064600000,2064610000
dev_0254,high_risk_instrumental,0,2061100000,2061110000
dev_0023,vocal_request,1,2063800000,2063810000
dev_0028,low_risk_instrumental,1,2062400000,2062410000
dev_0054,high_risk_instrumental,1,2060200000,2060210000
dev_0137,medium_risk_instrumental,1,2061800000,2061810000
dev_0147,medium_risk_instrumental,1,2062100000,2062110000
dev_0181,vocal_request,1,2064500000,2064510000
dev_0221,high_risk_instrumental,1,2061000000,2061010000
dev_0244,low_risk_instrumental,1,2063500000,2063510000
dev_0026,high_risk_instrumental,2,2060000000,2060010000
dev_0033,low_risk_instrumental,2,2062600000,2062610000
dev_0050,vocal_request,2,2064000000,2064010000
dev_0073,high_risk_instrumental,2,2060300000,2060310000
dev_0075,vocal_request,2,2064100000,2064110000
dev_0095,medium_risk_instrumental,2,2061500000,2061510000
dev_0126,low_risk_instrumental,2,2062800000,2062810000
dev_0140,medium_risk_instrumental,2,2061900000,2061910000
dev_0041,medium_risk_instrumental,3,2061300000,2061310000
dev_0097,vocal_request,3,2064200000,2064210000
dev_0107,vocal_request,3,2064300000,2064310000
dev_0121,high_risk_instrumental,3,2060700000,2060710000
dev_0160,medium_risk_instrumental,3,2062200000,2062210000
dev_0162,low_risk_instrumental,3,2063100000,2063110000
dev_0187,high_risk_instrumental,3,2060900000,2060910000
dev_0194,low_risk_instrumental,3,2063200000,2063210000
dev_0017,vocal_request,4,2063700000,2063710000
dev_0038,high_risk_instrumental,4,2060100000,2060110000
dev_0130,medium_risk_instrumental,4,2061600000,2061610000
dev_0142,low_risk_instrumental,4,2062900000,2062910000
dev_0150,high_risk_instrumental,4,2060800000,2060810000
dev_0174,medium_risk_instrumental,4,2062300000,2062310000
dev_0239,vocal_request,4,2064700000,2064710000
dev_0243,low_risk_instrumental,4,2063400000,2063410000
dev_0031,vocal_request,5,2063900000,2063910000
dev_0083,high_risk_instrumental,5,2060500000,2060510000
dev_0087,high_risk_instrumental,5,2060600000,2060610000
dev_0133,medium_risk_instrumental,5,2061700000,2061710000
dev_0144,medium_risk_instrumental,5,2062000000,2062010000
dev_0152,vocal_request,5,2064400000,2064410000
dev_0159,low_risk_instrumental,5,2063000000,2063010000
dev_0212,low_risk_instrumental,5,2063300000,2063310000
